subject,other_fwhm,qsiprep_fwhm
80208,5.34197378698,5.02156381997
130346,5.25336794385,5.30657065597
122430,5.37332880992,5.44157635572
100482,4.92386780552,5.25087991379
118276,5.94203494565,5.2244800505
82962,5.36923156502,4.96859919819
122879,5.44142305351,5.16597231858
98529,5.19204426684,5.19647818808
112781,5.2306962353,5.09651670698
93406,5.04071008815,5.04215395204
115799,5.03311484123,4.93845018358
90116,4.75088543041,4.96739824925
87209,5.03220839025,5.11355627934
131085,5.14310236591,4.93716621262
118615,5.84617752271,5.39608829105
119632,5.1339628831,4.73640204179
95257,5.46712373022,5.30985879366
131702,4.89844517538,4.78674545328
122437,6.01414394009,5.27355437085
85822,5.17473959626,4.76771923566
118513,4.79104999892,4.960131959
125535,4.85382926792,4.79017118783
87530,5.19327094803,5.12549625188
84050,5.1187327594,5.05834187967
81043,5.30057474201,4.99508123797
86972,5.08728806977,5.01007460073
113401,5.63448915164,5.3169016747
94697,5.54705770315,4.98783018169
89653,5.59649022928,5.29952064558
85083,5.2280585742,5.05540025431
104059,5.32197827898,5.14942926236
106473,4.91641511187,4.77831862498
84171,4.97483800483,4.90210306003
94276,5.169870579,5.24368568247
83423,4.88779554183,4.65354852222
122451,5.71704544533,5.33341155364
129525,5.08146106687,5.41625302135
108689,5.49277068595,5.22331220597
85173,5.29615787456,5.219243743
94492,4.97391757839,4.75185552054
88541,6.14215170461,5.25200958659
81353,5.54779380419,5.04985363923
110232,5.16992655037,5.32188147268
91121,5.30390821861,5.22757849809
83358,4.81123301298,4.93639254202
94621,5.2489849553,5.2346061614
91262,5.2956920821,4.98914389978
90785,5.16339212789,4.96210521561
93723,5.39958314414,5.07760352344
86076,5.10274114823,4.97046013969
83531,5.66001828977,5.19017458303
128208,5.2569905409,4.99960984463
127854,5.26903146355,4.79102004994
117595,5.41979403687,5.09665877469
98311,5.32461526165,5.13452637197
129336,5.2743994425,5.09300347357
110214,5.2835654363,5.19243842878
88486,5.60757922001,4.69890570177
111848,5.22733901917,5.00762797325
130034,4.96087823013,4.78961199067
93274,7.3646018746,5.12717528457
125558,5.19399929453,5.16794489068
88137,5.50513151666,4.94806752641
112391,5.30888707931,5.14672406329
111372,5.02640424005,5.07782734754
106802,5.25621662162,4.95085223247
109521,4.87535977218,4.98450291285
93949,5.34593599746,5.16917310352
99419,5.08209839839,4.9706318843
132179,5.42359977192,4.78046528978
103941,4.98720423717,4.89659684926
127236,5.36995281331,5.32487508195
117394,4.75227799928,4.75156049694
82674,5.36543587587,4.8745796978
120940,5.29868620651,5.04959030776
93787,5.70744743418,5.115429059
83832,5.15877061035,4.96997811592
84508,4.70722758077,4.75731605678
98902,5.46311734524,5.07154553793
104001,4.94566772523,4.96884417777
91717,5.23255108151,4.87216748583
81906,5.64614054716,5.02187835061
81992,4.90131321005,4.99425507966
93808,5.1064281577,4.69324578321
99538,5.28695154339,5.08097022499
88618,5.06261811477,5.06119088333
132097,5.1909807332,5.21123530642
112028,5.26685790568,4.99897403045
109088,5.82869552539,5.08804445715
103679,5.38625213171,5.10371187416
96356,5.15863301643,4.9814589135
95123,5.40412931908,5.07457558569
82208,5.06055226736,4.84960521851
85960,5.50232235507,4.99327833863
98751,5.24811817922,5.25374664556
103682,5.1507238535,4.98384357636
83429,5.37178671348,5.39819190609
132059,5.38484003515,5.33969537289
92881,5.14666755049,4.80834427024
104511,5.02789928193,5.01162221134
110289,5.24374577237,5.1479971024
109222,6.63781752621,5.18691920688
96224,5.48518371349,5.43646453264
91216,4.94435032832,4.88608162573
126960,5.12156112317,5.31754512439
106313,5.32687477231,5.22447929469
89320,4.92907199358,4.94955769994
132995,4.95687822064,4.8998279096
92089,5.00349697952,4.93843022086
98879,5.30998446783,5.04380067153
93948,5.03147809918,5.36449915441
