raw_dimension_x,raw_dimension_y,raw_dimension_z,raw_voxel_size_x,raw_voxel_size_y,raw_voxel_size_z,raw_max_b,raw_neighbor_corr,raw_num_bad_slices,raw_num_directions,t1_dimension_x,t1_dimension_y,t1_dimension_z,t1_voxel_size_x,t1_voxel_size_y,t1_voxel_size_z,t1_max_b,t1_neighbor_corr,t1_num_bad_slices,t1_num_directions,mean_fd,max_fd,max_rotation,max_translation,max_rel_rotation,max_rel_translation,t1_dice_distance,file_name,subject_id,session_id,task_id,acq_id,space_id,rec_id,run_id
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.886777,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.9256989999999999,0.0,71.0,0.36956071867042856,1.2347311088700001,0.02234129608,0.6305049568,0.01103854832,0.4863775189600001,0.025135579108440786,sub-80208_ses-PNC1,sub-80208,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.921499,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.939206,0.0,71.0,0.22718281281417,0.7467269987750002,0.005576677155000001,0.3880877024,0.003126491443,0.4222868195,0.025544803413593414,sub-130346_ses-PNC1,sub-130346,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.895184,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.929351,0.0,71.0,0.26156252580847145,0.85044067973,0.01708388701,0.5750026166,0.004266466945,0.42101381322,0.016362492133417242,sub-122430_ses-PNC1,sub-122430,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.8884219999999999,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.9314450000000001,0.0,71.0,0.2278081434698771,0.82276108677,0.009738043882,0.560985765,0.002325979526999998,0.3996107908,0.012164139109778531,sub-100482_ses-PNC1,sub-100482,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.874878,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.9342719999999999,0.0,71.0,0.4848249581808286,2.8141326298540004,0.05084501579,1.578212418,0.02984477207,0.5118684946000001,0.017312906281645054,sub-118276_ses-PNC1,sub-118276,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.745071,24.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.912063,0.0,71.0,0.8204469894376858,4.23218767033,0.04841114580999999,1.112057669,0.041651234965,1.0131121662999998,0.02094807334262626,sub-82962_ses-PNC1,sub-82962,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.690179,5.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.897915,0.0,71.0,1.054164199075843,7.948709859961499,0.1138480976,4.5880843030000005,0.06478040177496001,1.9538418210000008,0.018695656905313787,sub-122879_ses-PNC1,sub-122879,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.883187,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.934651,0.0,71.0,0.2967553176294571,0.6853226467399997,0.01793246716,1.084834861,0.002090661088,0.4250399458,0.02315928449137671,sub-98529_ses-PNC1,sub-98529,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.7462300000000001,3.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.9102120000000001,0.0,71.0,0.9090396066865,7.372358756499999,0.06497052312000001,9.812379959,0.028845322320000005,4.475389250699998,0.03164299186054526,sub-112781_ses-PNC1,sub-112781,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.778393,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.923127,0.0,71.0,0.30777011106402136,0.6603047008115001,0.051379509270000005,2.155591515,0.0031873863200000013,0.3465269385,0.012561551044666688,sub-93406_ses-PNC1,sub-93406,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.8758299999999999,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.937566,0.0,71.0,0.3136161435002485,1.14054673399,0.023906480519999995,0.4273823085,0.006603293119999997,0.414253915344,0.020438363599589338,sub-115799_ses-PNC1,sub-115799,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.897175,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.944493,0.0,71.0,0.17315114503243145,0.390199708285,0.001722884597,0.2224573591,0.0017738612950999996,0.1891507921014,0.015583530735285962,sub-90116_ses-PNC1,sub-90116,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.860247,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.9411120000000001,0.0,71.0,0.2758620563659143,2.2438124434500004,0.0185316857,0.8505179701999999,0.016319055580000002,0.5972755013999999,0.023657787634343088,sub-87209_ses-PNC1,sub-87209,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.886702,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.9349780000000001,0.0,71.0,0.29992844829769433,0.7180675056449999,0.006026474759,0.4939347058,0.007043067366,0.43591969633999994,0.025940869469422603,sub-131085_ses-PNC1,sub-131085,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.902982,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.9399280000000001,2.0,71.0,0.4270314846839857,1.3614600086250002,0.01955397055,0.7993451353999999,0.0061673680025,0.5502325979,0.024206816787302552,sub-118615_ses-PNC1,sub-118615,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.890309,1.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.929631,2.0,71.0,0.3598478562370571,0.9487566032550004,0.01172402408,0.3788896303,0.0098523609347,0.4152035549,0.016803733568687234,sub-119632_ses-PNC1,sub-119632,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.8999729999999999,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.935868,0.0,71.0,0.2874588279580073,1.02094323349,0.01344411075,0.4499305703,0.005048904801,0.33697986173999994,0.01973260684996688,sub-95257_ses-PNC1,sub-95257,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.851765,1.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.9370700000000001,0.0,71.0,0.3004324509678714,1.159149392404,0.007359476294,0.6758410195000001,0.0054411462628999995,0.6781150877690001,0.015098128206186138,sub-131702_ses-PNC1,sub-131702,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.8826430000000001,2.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.927527,0.0,71.0,0.5287681679992571,1.466193762685,0.024371357630000003,1.841401865,0.0082299167261,0.6345096800000001,0.029048089450743813,sub-122437_ses-PNC1,sub-122437,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.906244,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.938967,0.0,71.0,0.23592478667052855,0.548060256,0.005455442239000001,0.4307866784,0.0013213525520000002,0.29321041649999996,0.02420515231044433,sub-85822_ses-PNC1,sub-85822,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.8855860000000001,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.9351149999999999,0.0,71.0,0.18922271371427146,0.6063555822430001,0.008134257047999999,0.3757903551,0.001687774434999999,0.2925927416,0.020864040376970837,sub-118513_ses-PNC1,sub-118513,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.8748790000000001,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.9420950000000001,0.0,71.0,0.25790481722441,0.68441921209585,0.0062727248300000005,0.6399257088,0.0017024130210999998,0.4402139422,0.023180224104011632,sub-125535_ses-PNC1,sub-125535,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.785169,30.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.9191809999999999,0.0,71.0,0.7416451494642231,3.525785929925,0.031964376569999994,1.258944612,0.04137356579,1.1386140404,0.022076290988394736,sub-87530_ses-PNC1,sub-87530,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.8671260000000001,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.9340370000000001,0.0,71.0,0.2839256784491987,0.72804765889,0.009935878217000002,0.5760520264999999,0.005110465223,0.335037511,0.01799381744631743,sub-84050_ses-PNC1,sub-84050,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.905495,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.9377040000000001,0.0,71.0,0.2513890504581656,0.5948639384975,0.006552816369,0.372472345,0.0034548729873500003,0.39632745829000005,0.017028938825917675,sub-81043_ses-PNC1,sub-81043,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.839987,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.921811,0.0,71.0,0.6696170152587144,2.2375391571000005,0.04370613769,0.8261268526999999,0.01872614585,0.6179540445,0.020005512573153767,sub-86972_ses-PNC1,sub-86972,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.8754790000000001,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.925602,0.0,71.0,0.3351204177758285,0.9744944885000002,0.01608371176,0.992142538,0.004904057831,0.4772578269999998,0.020109152470136973,sub-113401_ses-PNC1,sub-113401,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.814543,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.926401,0.0,71.0,0.33644930594665706,0.8461726942449997,0.06908357142999999,1.849606549,0.004909373819999997,0.5260591052,0.01865541271077095,sub-94697_ses-PNC1,sub-94697,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.8800790000000001,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.9323379999999999,0.0,71.0,0.3728588772807428,1.01352206241,0.02835945785,0.5480210231000001,0.01059479639,0.42516629751,0.02311932147081771,sub-89653_ses-PNC1,sub-89653,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.58854,36.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.908608,0.0,71.0,0.9054150485635714,6.141932253799999,0.12515127660000006,3.111628143,0.05931790732000001,1.0680750514,0.01884469498522601,sub-85083_ses-PNC1,sub-85083,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.682736,1.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.939944,0.0,71.0,0.6480379265427559,4.935075976035,0.140874207,3.567574744,0.05073251179,2.092131728,0.028681940565018563,sub-104059_ses-PNC1,sub-104059,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.904424,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.940433,0.0,71.0,0.21716160003674,0.4528862202150001,0.004966423847000001,0.4113696193,0.0025725220916,0.273941052844,0.02197672357771608,sub-106473_ses-PNC1,sub-106473,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.8548379999999999,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.9521040000000001,1.0,71.0,0.32793916140968576,1.21045426008,0.01261123642,0.9717376662000002,0.003720076522,0.5516466286800001,0.013729394268874836,sub-84171_ses-PNC1,sub-84171,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.882875,3.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.9453370000000001,0.0,71.0,0.25233847198946424,2.029234393595,0.008727016859,0.7558631167000001,0.01091406378,0.7583129813430001,0.029156152932179876,sub-94276_ses-PNC1,sub-94276,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.8576219999999999,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.9378639999999999,0.0,71.0,0.24310477362474575,0.6151556699799999,0.01584675536,1.13224975,0.00291864539,0.2051635768,0.020282881677072127,sub-83423_ses-PNC1,sub-83423,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.875066,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.930425,0.0,71.0,0.27028953711943565,0.7150353805549999,0.01212919317,0.6925483438,0.004253745661,0.30972948440000003,0.018053088096979832,sub-122451_ses-PNC1,sub-122451,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.841002,79.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.919475,0.0,71.0,0.3367377421653971,1.4910176871749,0.032590359449999995,0.7027135765000001,0.008573609403999998,0.3658954842,0.0131808095899009,sub-129525_ses-PNC1,sub-129525,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.881817,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.93358,0.0,71.0,0.4229152451087143,0.8692669513480001,0.02261297219,1.793228185,0.00467149762,0.3632718073,0.018572180027869804,sub-108689_ses-PNC1,sub-108689,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.826767,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.9226530000000001,0.0,71.0,0.4443547094238856,3.2284623878789995,0.02449823171,0.8923305082999999,0.029074481224,0.8463592397000002,0.020840657331272786,sub-85173_ses-PNC1,sub-85173,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.794979,1.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.919032,0.0,71.0,0.59387644082004,3.27845655815,0.08087704331000001,2.227170553,0.02535988391000001,1.5171811735,0.017114429654196597,sub-94492_ses-PNC1,sub-94492,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.924549,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.930003,0.0,71.0,0.24506052602527145,0.4655680626800001,0.006073190831000001,0.5681034762,0.002252218022,0.31813523174,0.01099038639194674,sub-88541_ses-PNC1,sub-88541,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.905723,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.9405370000000001,0.0,71.0,0.2486263700593057,0.6619273756449999,0.012828437610000005,0.6221005571,0.001629735343,0.4160262255800001,0.017079061573188625,sub-81353_ses-PNC1,sub-81353,ses-PNC1,,,,,
128.0,128.0,70.0,1.875,1.875,2.0,1005.0,0.82834,0.0,71.0,97.0,116.0,98.0,2.0,2.0,2.0,1005.0,0.929176,0.0,71.0,0.2962982537695828,0.82149786552,0.02289461903,1.143928802,0.0027720830369999997,0.45820055386999997,0.02161875589066918,sub-110232_ses-PNC1,sub-110232,ses-PNC1,,,,,
