subject,other_fwhm,qsiprep_fwhm
102041,3.89519795947,3.91344696782
104059,3.53124055006,3.91903922426
104235,4.39173243432,4.13090608721
104785,3.78655811804,3.76186467925
105168,3.78938731175,3.75168275015
105176,4.39411182797,4.22895372277
105309,4.19567529858,3.81465912763
105767,3.94886828764,4.15746306775
105860,3.94648207885,3.72975166192
106039,4.01614050702,4.11770695872
106071,4.17648696688,
106246,4.64468933447,4.27210682621
106331,4.175260275,4.06021935988
106802,4.20877961084,3.72576959574
106880,4.11908473323,3.77290637956
108202,3.97703831902,3.98664455098
109521,3.86709207236,3.94900039427
109646,4.01308129489,3.96599521856
109735,4.25306562608,4.04008978168
110354,4.03691562283,4.05056807682
110828,4.08424523557,3.80090639699
112249,4.30902357055,4.20455235636
112332,4.14162456583,4.15879844095
112694,4.34623351388,3.92128030541
114709,3.70536247123,3.66481045841
114935,3.67612310204,3.84905206347
116354,4.93116435314,4.36967447577
117397,3.88430880422,3.77519062888
118864,4.24633835766,4.21051331391
118990,4.27874140199,3.90985206968
120217,3.84969776873,3.94362849808
120562,3.98818698658,3.94990143018
121001,3.94933962254,4.00215724784
121050,4.09607863455,3.89058968331
121407,4.0584434091,4.02557359532
121670,3.83678740833,3.94692449978
122522,4.06839064083,3.72584640324
122528,4.1031538223,3.93013117639
122801,4.46684623155,4.33691512678
125511,3.78541933893,3.83990280268
125535,4.06638866884,4.00053586506
126176,3.88066054749,3.90302176901
126389,4.54446230913,4.39598396059
126554,4.04618495209,3.84892968006
127008,3.97872300114,3.79793603855
127236,4.69641585238,4.14794215249
127305,3.92185584968,3.74954829152
127417,4.35587545903,3.99730310356
127542,4.16179337803,
127611,4.43477847009,3.85339915316
128061,4.1408050309,4.09285482328
128154,4.04724156819,3.7891588849
129405,4.04466663761,3.85130083513
129552,3.99337857527,4.06270811399
129720,3.97834532915,4.33117183029
129886,4.13879613703,3.91743187878
130121,4.81061373289,4.57418562919
130687,4.37528288034,4.14680678687
130759,4.03273373933,3.80234334894
131224,3.85998196188,3.76880104607
131867,3.63364630698,3.80760574579
132179,3.72621154233,3.70762651796
132224,4.19734811777,4.03349414134
132657,4.27410129411,3.98765761582
133220,4.06380477469,3.98279002291
19977,4.26205878355,4.10157807307
19981,4.12067276726,4.05734920536
20011,3.80961868181,3.79329380346
20017,4.15784516296,4.0120271882
20120,4.17937412085,
20151,3.92899999042,3.92768375332
20189,4.10308751688,3.94353136372
20197,4.11599074011,4.11093786519
20247,4.76780818286,4.10753286366
20313,4.4395489461,4.18691546436
20320,3.71734772585,3.80796260224
20322,3.90073298503,3.91937451788
20325,3.93172544893,3.85992878181
20362,4.77022803548,4.06159900386
80557,3.77143670883,3.82455884944
80688,4.17007501428,3.94720498284
81725,3.90836849404,3.72996492469
81760,4.24929746037,4.01891979135
83454,3.86348848232,3.89945566242
83835,3.86136677344,3.70405754648
84354,3.68805818901,3.79492001014
84688,3.98672471349,3.8966868588
84761,4.04246353835,3.96518790178
85083,3.93017202714,4.01567688436
85369,4.45366543212,4.21513223513
86722,4.01092355381,4.00136137764
86972,4.01426410395,3.94895373688
87346,4.96827403767,4.5875917283
87563,3.73231272823,3.79690024836
87601,3.7376968044,3.85021912893
87646,3.80468182653,3.67465157826
88402,4.15828531186,4.23358244576
88589,4.37077158099,4.34626695736
88608,4.55960060152,4.29902307384
88770,3.98215782079,3.96150754844
89279,4.30834155688,4.01890438927
89377,4.11992105666,4.17338127915
90021,4.35912775754,4.3550588387
90060,4.16919211056,3.96781204882
90077,3.75234570146,3.89288230707
90262,4.26536602663,3.87885795786
90281,4.03952907571,3.93654957265
90683,3.52766567148,3.70600114595
91717,4.89240947546,4.08322221297
91919,3.87862196166,3.7507663804
91962,3.70080134328,3.87548254195
92089,3.9685193643,3.96439322129
92193,4.28236980253,4.07514218015
92211,3.92864956725,3.84462158398
92554,4.0854411804,4.02359006496
92927,3.82359790766,3.81562921772
93051,3.68354134382,3.67221188908
93274,4.10920260364,3.93151530193
93278,4.1777930955,4.04934767865
93292,4.20276435042,4.0237748058
93406,3.74727863947,3.91912230576
93517,4.18976892666,3.97801764621
93549,3.6502149484,3.7392701693
93787,3.96211699132,3.81816053648
93856,4.0139117438,
94276,4.33580096872,4.09845347195
94848,3.8184371944,3.74957401203
95015,4.22698194713,3.9824241123
95057,3.84581218629,3.77579563891
95116,3.67655573059,3.71503517891
95460,3.80231157645,3.82045424708
96659,4.39329936032,4.04812877244
97092,4.13706381345,3.92755126641
97271,3.97474053571,3.82353965254
97485,3.80861594209,3.96914449684
97994,3.77537713983,3.70366502012
98314,4.01106611804,3.88234324401
98567,4.17901226179,3.97742830447
98871,3.8317421312,3.95087448632
99352,4.37234022867,4.12150111055
99604,4.38468656455,4.1193654089
99949,4.4728526702,4.28962671493
