"","subject","qc","fwhm","scheme","pipeline"
"43","362dbd14b53f2299fde6d05b918e736e5155216f641dd1a23ea864a0178625df",0.861107,3.79793603855,"MultiShell 113","QSIPrep"
"44","1040aead35caf42f50f5267d310d09470d0aab72855c7068a98947bf23149952",0.845695,3.74954829152,"MultiShell 113","QSIPrep"
"45","1b172cdbdcc9c9756868cba691533f96df5960091bfbf86cc59c0ea4dadb0bb1",0.841027,3.99730310356,"MultiShell 113","QSIPrep"
"46","cbf1c90f3d0400994913a913ff82bcc8f9a59f40f23aa4bb6b57311486361253",0.826136,3.85339915316,"MultiShell 113","QSIPrep"
"47","f01e434e5870896b1c4e8a3b65370553549edfb219cba9d03221d239c6c371d1",0.803188,4.09285482328,"MultiShell 113","QSIPrep"
"48","9353d2680bafc5a40a6e4e5be4208b62bdd4b176c21a22cb3f8e8d1b3b69f56a",0.848839,3.7891588849,"MultiShell 113","QSIPrep"
"49","81494c8d28a62014b872861f341562cbf04fa428b057f91d7a823bf67192a99f",0.827666,3.85130083513,"MultiShell 113","QSIPrep"
"50","13d14c754de527b9d5f3ed1dfc4e632fc289a93bb329205173e29008e72f8930",0.857989,4.06270811399,"MultiShell 113","QSIPrep"
"51","055fb1c49d3e3c94d3daf252aa51fc003ae3b5bad9c965212fe0c9a1e400834d",0.840889,4.33117183029,"MultiShell 113","QSIPrep"
"52","988199d8f446a7a266df843042c0e49ff65db09c4d34be377e5f495a15ba175f",0.874975,3.91743187878,"MultiShell 113","QSIPrep"
"53","2a099d9079cc9ed3eb2627325308aba92700268113b4b5415658b9b448748be9",0.832667,4.57418562919,"MultiShell 113","QSIPrep"
"54","94aee2f15aa6fde074b02342fcdfbfe8fd3ba7a12e597c3e78b15cf775837a49",0.846043,4.14680678687,"MultiShell 113","QSIPrep"
"55","940082225c3937a4b99d624bbbfd068539acf4b3fc17346c9b0b87634abd98d2",0.848556,3.80234334894,"MultiShell 113","QSIPrep"
"56","9ebcd2a16c9d86f92875d5a03aedf388ced9541a7145f7c9ce6ae00addf0c776",0.851643,3.76880104607,"MultiShell 113","QSIPrep"
"57","d596e9e16e9dcacc5bfe4118072f878e7d852615e00411deeec60563f12ca6a9",0.822196,3.80760574579,"MultiShell 113","QSIPrep"
"58","cbfe81d2d81fec08842380ef070b2466968444f815651305c05b4f0a267b59a9",0.845574,3.70762651796,"MultiShell 113","QSIPrep"
"59","334032c30c1633def71279944063150943c8288eb0c78f3dc895e550c87e7d54",0.847807,4.03349414134,"MultiShell 113","QSIPrep"
"60","e48dda013789d3163e4acb958f664bb9b5b8f6a99d0c7bcf1919dc32278eabdc",0.830324,3.98765761582,"MultiShell 113","QSIPrep"
